fecha,dolar_observado,anio,mes,dia,trimestre
2020-01-02,748.74,2020,1,2,1
2020-01-03,754.16,2020,1,3,1
2020-01-06,758.49,2020,1,6,1
2020-01-07,771.82,2020,1,7,1
2020-01-08,773.12,2020,1,8,1
2020-01-09,766.83,2020,1,9,1
2020-01-10,764.69,2020,1,10,1
2020-01-13,770.56,2020,1,13,1
2020-01-14,777.66,2020,1,14,1
2020-01-15,772.29,2020,1,15,1
2020-01-16,772.01,2020,1,16,1
2020-01-17,773.36,2020,1,17,1
2020-01-20,771.38,2020,1,20,1
2020-01-21,769.93,2020,1,21,1
2020-01-22,770.5,2020,1,22,1
2020-01-23,772.12,2020,1,23,1
2020-01-24,771.94,2020,1,24,1
2020-01-27,776.52,2020,1,27,1
2020-01-28,787.86,2020,1,28,1
2020-01-29,788.13,2020,1,29,1
2020-01-30,788.18,2020,1,30,1
2020-01-31,797.96,2020,1,31,1
2020-02-03,799.11,2020,2,3,1
2020-02-04,790.92,2020,2,4,1
2020-02-05,781.78,2020,2,5,1
2020-02-06,776.99,2020,2,6,1
2020-02-07,779.12,2020,2,7,1
2020-02-10,788.8,2020,2,10,1
2020-02-11,795.88,2020,2,11,1
2020-02-12,792.48,2020,2,12,1
2020-02-13,788.33,2020,2,13,1
2020-02-14,795.12,2020,2,14,1
2020-02-17,792.73,2020,2,17,1
2020-02-18,791.95,2020,2,18,1
2020-02-19,796.9,2020,2,19,1
2020-02-20,797.4,2020,2,20,1
2020-02-21,804.74,2020,2,21,1
2020-02-24,809.82,2020,2,24,1
2020-02-25,810.2,2020,2,25,1
2020-02-26,807.96,2020,2,26,1
2020-02-27,811.1,2020,2,27,1
2020-02-28,816.26,2020,2,28,1
2020-03-02,818.32,2020,3,2,1
2020-03-03,817.45,2020,3,3,1
2020-03-04,809.81,2020,3,4,1
2020-03-05,812.19,2020,3,5,1
2020-03-06,823.28,2020,3,6,1
2020-03-09,828.95,2020,3,9,1
2020-03-10,841.06,2020,3,10,1
2020-03-11,834.22,2020,3,11,1
2020-03-12,835.48,2020,3,12,1
2020-03-13,852.06,2020,3,13,1
2020-03-16,836.66,2020,3,16,1
2020-03-17,850.51,2020,3,17,1
2020-03-18,855.09,2020,3,18,1
2020-03-19,862.69,2020,3,19,1
2020-03-20,867.83,2020,3,20,1
2020-03-23,851.01,2020,3,23,1
2020-03-24,861.07,2020,3,24,1
2020-03-25,847.04,2020,3,25,1
2020-03-26,843.96,2020,3,26,1
2020-03-27,836.05,2020,3,27,1
2020-03-30,835.23,2020,3,30,1
2020-03-31,846.3,2020,3,31,1
2020-04-01,852.03,2020,4,1,2
2020-04-02,863.81,2020,4,2,2
2020-04-03,861.89,2020,4,3,2
2020-04-06,863.99,2020,4,6,2
2020-04-07,853.91,2020,4,7,2
2020-04-08,842.05,2020,4,8,2
2020-04-09,851.9,2020,4,9,2
2020-04-13,839.49,2020,4,13,2
2020-04-14,844.57,2020,4,14,2
2020-04-15,848.63,2020,4,15,2
2020-04-16,859.31,2020,4,16,2
2020-04-17,852.52,2020,4,17,2
2020-04-20,849.45,2020,4,20,2
2020-04-21,856.23,2020,4,21,2
2020-04-22,862.06,2020,4,22,2
2020-04-23,856.51,2020,4,23,2
2020-04-24,858.87,2020,4,24,2
2020-04-27,859.95,2020,4,27,2
2020-04-28,856.76,2020,4,28,2
2020-04-29,850.41,2020,4,29,2
2020-04-30,836.62,2020,4,30,2
2020-05-04,837.92,2020,5,4,2
2020-05-05,838.74,2020,5,5,2
2020-05-06,832.84,2020,5,6,2
2020-05-07,839.08,2020,5,7,2
2020-05-08,836.27,2020,5,8,2
2020-05-11,827.65,2020,5,11,2
2020-05-12,826.05,2020,5,12,2
2020-05-13,821.88,2020,5,13,2
2020-05-14,820.38,2020,5,14,2
2020-05-15,822.93,2020,5,15,2
2020-05-18,823.86,2020,5,18,2
