series_id,indicator_name,frequency,fecha,valor,anio,mes,dia,trimestre
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-01-01,0.6,2020,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-02-01,0.4,2020,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-03-01,0.3,2020,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-04-01,0.0,2020,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-05-01,-0.1,2020,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-06-01,-0.1,2020,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-07-01,0.1,2020,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-08-01,0.1,2020,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-09-01,0.6,2020,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-10-01,0.7,2020,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-11-01,-0.1,2020,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2020-12-01,0.3,2020,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-01-01,0.7,2021,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-02-01,0.2,2021,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-03-01,0.4,2021,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-04-01,0.4,2021,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-05-01,0.3,2021,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-06-01,0.1,2021,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-07-01,0.8,2021,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-08-01,0.4,2021,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-09-01,1.2,2021,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-10-01,1.3,2021,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-11-01,0.5,2021,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2021-12-01,0.8,2021,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-01-01,1.2,2022,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-02-01,0.3,2022,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-03-01,1.9,2022,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-04-01,1.4,2022,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-05-01,1.2,2022,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-06-01,0.9,2022,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-07-01,1.4,2022,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-08-01,1.2,2022,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-09-01,0.9,2022,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-10-01,0.5,2022,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-11-01,1.0,2022,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2022-12-01,0.3,2022,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-01-01,0.8,2023,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-02-01,-0.1,2023,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-03-01,1.1,2023,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-04-01,0.3,2023,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-05-01,0.1,2023,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-06-01,-0.2,2023,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-07-01,0.4,2023,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-08-01,0.1,2023,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-09-01,0.7,2023,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-10-01,0.4,2023,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-11-01,0.7,2023,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2023-12-01,-0.5,2023,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-01-01,0.7,2024,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-02-01,0.6,2024,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-03-01,0.4,2024,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-04-01,0.5,2024,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-05-01,0.3,2024,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-06-01,-0.1,2024,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-07-01,0.7,2024,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-08-01,0.3,2024,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-09-01,0.1,2024,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-10-01,1.0,2024,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-11-01,0.2,2024,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-12-01,-0.2,2024,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-01-01,1.1,2025,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-02-01,0.4,2025,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-03-01,0.5,2025,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-04-01,0.2,2025,4,1,2
